Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Block_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330616,CHENGAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330608,"WEST ARNI",1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330609,POLUR,1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330613,KILPENNATHUR,1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330611,CHETPET,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330601,VEMBAKKAM,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330607,ARNI,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330611,CHETPET,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330616,CHENGAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330601,VEMBAKKAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330602,CHEYYAR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330604,PERANAMALLUR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330605,VANDAVASI,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330609,POLUR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330611,CHETPET,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,5,4,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330616,CHENGAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330612,THURINJAPURAM,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330616,CHENGAM,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330618,"JAWADHU HILLS",1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",3,"B.Ed. or equivalent",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330607,ARNI,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330609,POLUR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330610,KALASAPAKKAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330612,THURINJAPURAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330616,CHENGAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",4,"M.Ed. or equivalent",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330614,TIRUVANNAMALAI,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",5,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330608,"WEST ARNI",1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330601,VEMBAKKAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330602,CHEYYAR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330604,PERANAMALLUR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330605,VANDAVASI,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330606,THELLAR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,4,4,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330609,POLUR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,5,4,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330611,CHETPET,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,4,4,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330613,KILPENNATHUR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,6,5,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330616,CHENGAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330602,CHEYYAR,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330603,ANAKKAVUR,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330604,PERANAMALLUR,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330605,VANDAVASI,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330606,THELLAR,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330608,"WEST ARNI",1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330609,POLUR,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330610,KALASAPAKKAM,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330612,THURINJAPURAM,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330613,KILPENNATHUR,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330615,PUDUPALAYAM,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",5,Others,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330608,"WEST ARNI",1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330614,TIRUVANNAMALAI,1,"Department of Education",2,"UPS (I-VIII)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330602,CHEYYAR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330606,THELLAR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330609,POLUR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330610,KALASAPAKKAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330613,KILPENNATHUR,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330616,CHENGAM,1,"Department of Education",5,"HSS (VI-XII)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330602,CHEYYAR,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330605,VANDAVASI,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330616,CHENGAM,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330618,"JAWADHU HILLS",1,"Department of Education",7,"SS (VI-X)",1,"Below Secondary",6,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330601,VEMBAKKAM,1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,24,9,15
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330602,CHEYYAR,1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330603,ANAKKAVUR,1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,11,2,9
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330604,PERANAMALLUR,1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,15,7,8
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330605,VANDAVASI,1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,20,4,16
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330606,THELLAR,1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,13,6,7
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330607,ARNI,1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330608,"WEST ARNI",1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,24,9,15
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330609,POLUR,1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,24,10,14
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330610,KALASAPAKKAM,1,"Department of Education",1,"PS (I-V)",3,"Higher secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,19,10,9
